# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "reference_genomes/stm/stm_genome_temp.gtf" "-o" "feature_counts/stm_1110.txt" "sam/sam_11_09/278-1_stm.sorted.bam" "sam/sam_11_09/278-2_stm.sorted.bam" "sam/sam_11_09/278-3_stm.sorted.bam" "sam/sam_11_09/278-4_stm.sorted.bam" "sam/sam_11_09/278-5_stm.sorted.bam" "sam/sam_11_09/279-1_stm.sorted.bam" "sam/sam_11_09/279-2_stm.sorted.bam" "sam/sam_11_09/279-3_stm.sorted.bam" "sam/sam_11_09/279-4_stm.sorted.bam" "sam/sam_11_09/279-5_stm.sorted.bam" "-t" "transcript" "--extraAttributes" "gene_name" 
Geneid	Chr	Start	End	Strand	Length	gene_name	278-1_stm.sorted.bam	278-2_stm.sorted.bam	278-3_stm.sorted.bam	278-4_stm.sorted.bam	278-5_stm.sorted.bam	279-1_stm.sorted.bam	279-2_stm.sorted.bam	279-3_stm.sorted.bam	279-4_stm.sorted.bam	279-5_stm.sorted.bam
STM1256	Chromosome	1340747	1341721	+	975	NA	17	98	55	18	19	67	41	34	35	44
STM1257	Chromosome	1341711	1342523	+	813	NA	9	20	34	9	13	40	35	8	25	27
STM1258	Chromosome	1342517	1343314	+	798	NA	8	37	36	5	12	24	24	10	15	15
STM1259	Chromosome	1343308	1343898	+	591	NA	0	29	21	7	5	32	27	11	11	13
STM1260	Chromosome	1343980	1345113	-	1134	NA	13	23	16	17	14	41	60	27	32	16
STM1261	Chromosome	1345307	1345633	+	327	NA	6	20	5	9	10	50	79	25	12	11
STM1262	Chromosome	1345637	1345710	+	74	NA	0	1	0	0	0	0	0	1	0	0
STM1263	Chromosome	1345830	1346477	+	648	NA	6	17	13	7	12	53	54	16	22	194
STM1264	Chromosome	1346586	1347374	+	789	aadA	8	18	8	12	9	39	63	19	30	7
STM1265	Chromosome	1347519	1348112	+	594	NA	12	7	4	4	3	29	19	11	3	10
STM1266	Chromosome	1348181	1349029	+	849	NA	4	21	18	13	10	38	41	16	29	12
STM1267	Chromosome	1349284	1349532	-	249	NA	13	21	6	21	9	111	130	46	36	26
STM1268	Chromosome	1349611	1349760	-	150	NA	1	0	1	0	0	14	4	1	0	0
STM1269	Chromosome	1349843	1350388	+	546	NA	1	8	7	1	0	23	2	5	4	13
STM1270	Chromosome	1350585	1351223	+	639	yeaS	33	54	67	49	28	148	197	80	105	49
STM1271	Chromosome	1351396	1351758	+	363	yeaR	4	12	14	3	2	23	27	13	12	15
STM1272	Chromosome	1351761	1351943	+	183	yoaG	10	14	19	8	2	29	59	21	13	10
STM1273	Chromosome	1352173	1352814	+	642	NA	9	9	15	19	9	41	46	31	23	11
STM1274	Chromosome	1353129	1353377	+	249	yeaQ	32	53	36	19	16	131	157	33	37	35
STM1275	Chromosome	1353810	1354061	+	252	yaoF	6	20	23	11	12	45	73	24	28	14
STM1276	Chromosome	1354130	1354441	+	312	NA	26	71	46	47	23	135	186	78	84	20
STM1277	Chromosome	1354427	1354774	-	348	yeaO	14	47	62	44	30	107	172	86	94	30
STM1278	Chromosome	1354893	1356077	-	1185	yeaN	1	4	14	9	5	12	18	18	10	8
STM1279	Chromosome	1356178	1356972	+	795	yeaM	13	41	23	17	13	77	64	32	38	12
STM1280	Chromosome	1356952	1357398	-	447	yeaL	4	14	16	12	14	19	51	27	32	9
STM1281	Chromosome	1357604	1357711	+	108	NA	0	1	2	1	0	3	8	3	7	0
STM1282	Chromosome	1357708	1358226	-	519	yeaK	2	12	25	10	4	27	37	19	21	10
STM1283	Chromosome	1358276	1359769	-	1494	yeaJ	14	21	51	22	16	80	105	89	88	25
STM1284	Chromosome	1360410	1361696	-	1287	yeaH	108	389	240	100	136	677	934	188	147	360
STM1285	Chromosome	1361819	1363753	-	1935	yeaG	603	1192	836	171	379	3136	3286	512	253	1690
STM1286	Chromosome	1364180	1364926	+	747	mipA	108	237	389	241	129	533	918	442	670	126
STM1287	Chromosome	1365216	1366412	+	1197	NA	4	22	12	15	9	21	45	18	14	8
STM1288	Chromosome	1366509	1367366	+	858	NA	10	49	50	45	23	81	125	54	87	20
STM1289	Chromosome	1367465	1368349	-	885	yeaD	27	127	187	107	48	180	266	135	182	70
STM1290	Chromosome	1368684	1369679	-	996	gapA	564	2241	4489	2715	1084	5966	6845	4107	7037	1165
STM1291	Chromosome	1369991	1370434	+	444	yeaA	57	97	113	63	37	244	296	104	129	77
STM1292	Chromosome	1370476	1370754	+	279	yeaC	60	134	128	73	49	289	385	98	150	71
STM1293	Chromosome	1371106	1371762	-	657	pncA	5	38	54	23	8	49	68	42	83	11
STM1294	Chromosome	1371789	1372805	-	1017	ansA	6	19	36	22	13	54	80	42	56	9
STM1295	Chromosome	1372901	1374757	-	1857	sppA	19	82	120	69	42	162	239	129	184	36
STM1296	Chromosome	1374931	1375482	+	552	ydjA	33	71	71	47	32	126	227	71	107	40
STM1297	Chromosome	1375600	1376643	+	1044	selD	33	127	194	92	71	197	302	157	212	53
STM1298	Chromosome	1376648	1378597	+	1950	topB	20	95	135	74	48	138	223	139	236	57
STM1299	Chromosome	1378627	1379970	-	1344	gdhA	24	121	106	50	43	137	170	55	103	48
STM1300	Chromosome	1380209	1380484	+	276	NA	21	46	74	33	13	64	124	16	25	23
STM1301	Chromosome	1380444	1380860	-	417	NA	24	81	88	45	22	64	140	41	58	27
STM1302	Chromosome	1380933	1381739	-	807	xthA	19	91	132	61	38	144	167	69	80	44
STM1303	Chromosome	1382185	1383411	+	1227	astC	0	16	16	6	2	49	36	7	4	18
STM1304	Chromosome	1383402	1384436	+	1035	astA	4	11	14	7	1	20	16	6	10	12
STM1305	Chromosome	1384433	1385911	+	1479	astD	4	27	24	5	6	51	41	8	15	28
STM1306	Chromosome	1385908	1387251	+	1344	astB	9	18	32	4	4	43	37	19	15	30
STM1307	Chromosome	1387244	1388212	+	969	astE	3	10	10	4	5	21	17	5	5	6
STM1308	Chromosome	1388548	1389033	+	486	spy	16	44	57	16	11	115	70	28	20	34
STM1309	Chromosome	1389108	1390016	-	909	NA	17	39	34	38	29	110	196	82	51	35
STM1310	Chromosome	1390110	1390937	-	828	nadE	30	88	71	48	34	136	209	71	139	51
STM1311	Chromosome	1391156	1391497	+	342	osmE	367	463	224	97	144	782	1279	235	202	366
STM1312	Chromosome	1391798	1392118	+	321	celA	25	51	148	56	41	96	206	118	226	24
STM1313	Chromosome	1392201	1393559	+	1359	celB	25	43	124	57	21	100	141	161	208	13
STM1314	Chromosome	1393610	1393957	+	348	celC	12	19	32	17	10	30	58	45	107	14
STM1315	Chromosome	1393968	1394810	+	843	celD	16	9	77	19	15	47	60	79	135	11
STM1316	Chromosome	1394935	1396290	+	1356	celF	5	12	65	31	12	36	38	118	262	9
STM1317	Chromosome	1396303	1397061	+	759	celG	7	62	79	59	33	112	187	132	281	31
STM1318	Chromosome	1397105	1399357	-	2253	katE	39	197	144	39	45	380	424	83	88	138
STM1319	Chromosome	1399722	1399964	+	243	cedA	11	30	31	28	15	91	152	58	50	6
STM1320	Chromosome	1400066	1401457	-	1392	ydjN	43	134	116	94	59	152	375	141	141	64
STM1321	Chromosome	1401594	1402193	-	600	ydjM	6	20	17	6	8	43	55	29	26	13
STM1322	Chromosome	1402331	1402999	-	669	yniC	23	67	64	51	29	129	197	107	116	43
STM1323	Chromosome	1403148	1403684	+	537	yniB	26	74	54	42	37	122	205	80	99	37
STM1324	Chromosome	1403727	1404587	-	861	NA	177	744	671	340	297	1021	1958	486	750	305
STM1325	Chromosome	1404694	1404984	-	291	ydiZ	7	37	32	22	14	89	80	32	34	21
STM1326	Chromosome	1405081	1406013	-	933	pfkB	59	141	187	91	62	303	421	143	172	89
STM1327	Chromosome	1406302	1407060	+	759	ydiY	8	22	31	29	16	37	55	71	47	11
STM1328	Chromosome	1407109	1408068	-	960	NA	4	18	21	5	4	67	30	23	12	9
STM1329	Chromosome	1408211	1408525	+	315	NA	0	1	0	0	0	3	0	0	0	0
STM1330	Chromosome	1408522	1409376	+	855	NA	4	20	25	16	8	46	46	25	18	20
STM1331	Chromosome	1409549	1409755	+	207	NA	4	8	1	7	0	7	20	13	13	4
STM1332	Chromosome	1410078	1411301	-	1224	rfc	13	29	31	9	15	49	43	60	35	6
STM1333	Chromosome	1412193	1414121	+	1929	thrS	495	1902	2637	1326	946	2949	5290	2369	4047	771
STM1334	Chromosome	1414233	1414667	+	435	infC	560	2810	5712	2298	1598	5375	8546	4649	6813	1769
STM1335	Chromosome	1414763	1414960	+	198	rpmI	239	1121	1541	1049	663	1914	3216	1864	2956	598
STM1336	Chromosome	1415011	1415367	+	357	rplT	423	2141	3380	2093	1373	3769	7428	3823	5755	1236
STM1337	Chromosome	1415669	1416652	+	984	pheS	46	60	142	90	63	180	356	208	218	41
STM1338	Chromosome	1416668	1419055	+	2388	pheT	107	360	595	341	189	856	1293	506	842	159
STM1339	Chromosome	1419060	1419359	+	300	himA	165	550	503	248	254	883	1264	424	547	338
STM1340	Chromosome	1419562	1420542	+	981	btuC	7	26	28	21	15	33	81	39	54	19
STM1341	Chromosome	1420634	1421185	+	552	btuE	13	17	28	15	9	46	59	24	14	16
STM1342	Chromosome	1421185	1421934	+	750	btuD	7	19	36	9	7	38	37	34	34	6
STM1343	Chromosome	1422011	1422475	+	465	nlpC	10	33	23	20	3	71	60	37	50	22
STM1344	Chromosome	1422789	1423502	+	714	ydiV	20	27	13	6	7	103	80	35	19	34
STM1345	Chromosome	1423564	1425006	+	1443	ydiU	28	128	72	34	24	176	208	68	39	118
STM1346	Chromosome	1425041	1425232	-	192	ydiE	6	29	11	1	8	32	35	10	2	11
STM1347	Chromosome	1425389	1426435	-	1047	aroH	8	30	37	42	15	53	80	38	50	19
STM1348	Chromosome	1426591	1427424	-	834	ydiA	8	35	21	20	17	61	76	39	33	26
STM1349	Chromosome	1427761	1430139	+	2379	pps	124	523	511	227	269	870	1331	488	993	292
STM1350	Chromosome	1430181	1431821	-	1641	ydiD	15	49	38	25	24	128	170	53	55	28
STM1351	Chromosome	1431911	1432204	-	294	ydiT	0	0	1	0	0	1	4	1	0	0
STM1352	Chromosome	1432201	1433487	-	1287	ydiS	0	7	4	6	3	10	17	7	9	2
STM1353	Chromosome	1433544	1434479	-	936	ydiR	1	12	0	1	2	8	9	3	6	4
STM1354	Chromosome	1434501	1435265	-	765	ydiQ	0	16	6	4	12	13	22	11	15	3
STM1355	Chromosome	1435728	1436618	+	891	ydiP	1	6	1	2	0	7	8	3	5	1
STM1356	Chromosome	1436694	1437845	-	1152	ydiO	10	26	36	12	4	64	73	24	21	18
STM1357	Chromosome	1437859	1439412	-	1554	ydiF	4	9	5	4	2	9	17	2	2	0
STM1358	Chromosome	1439608	1440366	-	759	aroD	1	15	19	10	6	37	41	29	27	20
STM1359	Chromosome	1440411	1441277	-	867	ydiB	3	7	7	7	2	22	25	9	10	2
STM1360	Chromosome	1441344	1442579	-	1236	ydiN	0	1	1	0	0	6	1	2	1	0
STM1361	Chromosome	1442943	1444154	-	1212	ydiM	1	7	3	5	2	9	11	4	2	3
STM1362	Chromosome	1444295	1444654	-	360	ydiL	2	3	1	1	2	8	7	2	3	0
rprA	Chromosome	1444822	1444928	-	107	NA	0	1	1	0	0	8	9	0	3	0
STM1364	Chromosome	1445112	1446230	-	1119	ydiK	12	72	70	34	22	159	192	63	63	65
STM1365	Chromosome	1446495	1449551	+	3057	ydiJ	42	160	136	77	58	186	328	121	238	59
STM1366	Chromosome	1449548	1449958	+	411	NA	7	25	24	7	7	24	22	15	25	7
STM1367	Chromosome	1450018	1450245	+	228	ydiH	807	644	254	295	269	1446	2638	607	530	348
STM1368	Chromosome	1450533	1451879	-	1347	NA	8	25	17	18	15	36	64	51	15	14
STM1369	Chromosome	1452306	1452674	+	369	sufA	36	61	45	17	17	212	146	28	9	83
STM1370	Chromosome	1452683	1454170	+	1488	sufB	28	172	184	54	36	274	190	67	55	127
STM1371	Chromosome	1454187	1454933	+	747	sufC	13	85	88	24	7	154	95	41	26	70
STM1372	Chromosome	1454908	1456179	+	1272	sufD	24	172	194	49	41	288	197	76	65	112
STM1373	Chromosome	1456176	1457396	+	1221	sufS	18	163	142	46	30	164	161	62	50	96
STM1374	Chromosome	1457409	1457825	+	417	ynhA	3	37	20	7	9	63	64	15	15	25
STM1375	Chromosome	1457980	1458981	+	1002	ynhG	50	181	155	138	94	506	840	188	168	88
STM1376	Chromosome	1459048	1459287	-	240	lppB	61	209	103	100	88	464	796	206	235	153
STM1377	Chromosome	1459370	1459606	-	237	lpp	9501	21945	31285	13843	11750	47660	81547	23750	32992	14401
STM1378	Chromosome	1459917	1461329	-	1413	pykF	78	396	621	360	197	714	781	605	912	238
STM1379	Chromosome	1461731	1463074	-	1344	orf48	9	29	30	13	17	48	98	33	67	24
STM1380	Chromosome	1463096	1463989	-	894	orf32	7	18	25	12	18	33	67	30	40	14
STM1381	Chromosome	1464048	1464785	-	738	orf245	20	38	33	14	17	79	83	27	63	14
STM1382	Chromosome	1464797	1466023	-	1227	orf408	4	8	20	4	6	24	31	18	26	3
STM1383	Chromosome	1466346	1469408	-	3063	ttrA	16	150	235	70	43	218	380	109	163	81
STM1384	Chromosome	1469401	1470423	-	1023	ttrC	5	27	43	15	13	44	90	24	36	18
STM1385	Chromosome	1470424	1471176	-	753	ttrB	33	54	73	29	33	83	194	41	60	44
STM1386	Chromosome	1471340	1473118	+	1779	ttrS	47	358	301	169	122	335	727	257	553	116
STM1387	Chromosome	1473093	1473713	+	621	ttrR	6	47	60	31	20	61	86	39	84	14
STM1388	Chromosome	1473811	1474023	+	213	orf70	6	16	20	10	9	24	52	12	23	8
STM1389	Chromosome	1474119	1475078	-	960	orf319	119	311	238	155	154	732	1054	270	203	213
STM1390	Chromosome	1475251	1475979	-	729	orf242	12	31	31	29	18	66	88	41	55	20
STM1391	Chromosome	1476158	1476796	-	639	ssrB	2	11	14	5	2	60	27	8	9	23
STM1392	Chromosome	1476827	1479589	-	2763	ssrA	12	22	19	4	4	61	30	15	4	16
STM1393	Chromosome	1479990	1480391	+	402	ssaB	2	8	5	2	2	15	2	1	2	11
STM1394	Chromosome	1480393	1481886	+	1494	ssaC	0	5	16	3	1	37	5	2	1	6
STM1395	Chromosome	1481867	1483078	+	1212	ssaD	0	5	14	3	0	21	9	4	1	12
STM1396	Chromosome	1483086	1483328	+	243	ssaE	0	5	3	0	2	16	6	4	2	11
STM1397	Chromosome	1483592	1483918	+	327	sseA	4	34	48	1	2	119	24	13	2	50
STM1398	Chromosome	1483925	1484515	+	591	sseB	7	33	111	10	5	205	46	6	11	104
STM1399	Chromosome	1484512	1484985	+	474	sscA	6	12	55	7	0	62	17	11	5	32
STM1400	Chromosome	1484988	1486442	+	1455	sseC	4	42	89	5	3	182	35	21	15	83
STM1401	Chromosome	1486458	1487045	+	588	sseD	1	6	40	0	0	48	6	2	2	12
STM1402	Chromosome	1487048	1487464	+	417	sseE	0	3	15	0	1	10	6	2	0	5
STM1403	Chromosome	1487516	1487950	+	435	sscB	0	6	13	3	2	26	8	1	1	7
STM1404	Chromosome	1487966	1488748	+	783	sseF	1	5	6	2	0	11	14	2	5	3
STM1405	Chromosome	1488745	1489434	+	690	sseG	1	6	2	3	4	10	13	11	7	3
STM1406	Chromosome	1489528	1489743	+	216	ssaG	0	2	9	0	0	26	1	3	1	10
STM1407	Chromosome	1489784	1490011	+	228	ssaH	0	8	14	0	1	20	3	3	1	14
STM1408	Chromosome	1490023	1490271	+	249	ssaI	0	2	5	1	1	26	0	1	0	7
STM1409	Chromosome	1490268	1491017	+	750	ssaJ	1	19	28	4	2	88	5	9	1	42
STM1410	Chromosome	1491035	1491583	+	549	NA	0	9	16	3	0	26	4	4	2	12
STM1411	Chromosome	1491580	1492254	+	675	ssaK	15	19	12	1	4	64	6	10	3	28
STM1412	Chromosome	1492220	1493236	+	1017	ssaL	10	43	76	17	9	127	62	27	14	60
STM1413	Chromosome	1493294	1493662	+	369	ssaM	0	6	5	0	0	26	4	5	4	5
STM1414	Chromosome	1493647	1495692	+	2046	ssaV	11	26	33	5	4	103	30	17	5	35
STM1415	Chromosome	1495682	1496983	+	1302	ssaN	3	32	62	15	5	94	24	9	9	35
STM1416	Chromosome	1496986	1497363	+	378	ssaO	0	3	2	1	0	3	1	1	2	3
STM1417	Chromosome	1497344	1497718	+	375	ssaP	0	6	3	0	0	12	2	3	1	4
STM1418	Chromosome	1497699	1498667	+	969	ssaQ	10	20	26	8	11	82	48	28	24	35
STM1419	Chromosome	1498735	1499382	+	648	ssaR	1	16	30	6	1	77	9	11	4	36
STM1420	Chromosome	1499379	1499645	+	267	ssaS	0	2	0	1	0	2	1	1	0	1
STM1421	Chromosome	1499646	1500425	+	780	ssaT	1	2	2	2	0	9	2	2	0	5
STM1422	Chromosome	1500422	1501480	+	1059	ssaU	2	7	3	5	5	19	23	17	5	4
valW	Chromosome	1501631	1501704	-	74	NA	2	3	5	8	3	2	4	4	4	1
valV	Chromosome	1501718	1501791	-	74	NA	2	9	2	2	3	15	13	6	9	2
STM1425	Chromosome	1501953	1503326	-	1374	ydhE	23	94	58	61	45	236	425	161	119	49
STM1426	Chromosome	1503543	1504184	+	642	ribE	11	47	61	37	20	112	154	69	98	21
STM1427	Chromosome	1504226	1505374	-	1149	cfa	97	262	211	148	129	398	540	233	214	130
STM1428	Chromosome	1505664	1506869	-	1206	ydhC	74	63	74	21	47	82	218	149	104	19
STM1429	Chromosome	1506982	1507914	+	933	ydhB	5	20	18	11	12	34	45	13	15	6
STM1430	Chromosome	1507911	1508936	-	1026	purR	6	44	109	35	22	92	98	101	91	23
STM1431	Chromosome	1509404	1509985	-	582	sodB	596	707	1202	619	481	1966	3430	1007	1496	404
STM1432	Chromosome	1510112	1510966	-	855	ydhO	21	41	48	42	22	90	164	87	103	28
STM1433	Chromosome	1511268	1511615	+	348	ydhD	151	177	298	134	121	695	760	349	450	145
STM1434	Chromosome	1511693	1512340	-	648	rnt	34	98	117	90	39	122	249	188	175	46
STM1435	Chromosome	1512441	1512848	-	408	gloA	80	162	148	71	60	352	447	173	190	122
STM1436	Chromosome	1512917	1514014	-	1098	nemA	9	74	94	75	49	108	202	107	208	27
STM1437	Chromosome	1514073	1514672	-	600	ydhM	24	56	41	50	35	78	168	80	90	32
STM1438	Chromosome	1514775	1515014	+	240	ydhL	10	17	11	5	2	58	35	9	8	16
STM1439	Chromosome	1515065	1515961	+	897	ydhF	49	91	125	63	58	197	357	99	221	39
STM1440	Chromosome	1516041	1516562	+	522	sodC	107	189	112	46	80	346	452	99	107	160
STM1441	Chromosome	1516538	1518577	-	2040	NA	26	81	43	32	31	134	176	41	58	65
STM1442	Chromosome	1518577	1519473	-	897	ydhJ	4	20	26	15	6	36	41	29	36	14
STM1443	Chromosome	1519440	1519676	-	237	ydhI	5	8	8	10	3	15	23	18	8	5
STM1444	Chromosome	1519871	1520311	+	441	slyA	58	163	201	97	92	385	446	191	218	179
STM1445	Chromosome	1520359	1520826	-	468	slyB	432	932	518	257	316	3695	2246	606	363	1965
STM1446	Chromosome	1521098	1522219	+	1122	ydhH	7	35	37	39	22	63	107	47	57	22
STM1447	Chromosome	1522307	1522636	+	330	ydhA	2	22	22	12	9	31	69	25	21	14
STM1448	Chromosome	1522695	1523351	+	657	pdxH	35	91	129	101	56	170	315	177	174	30
STM1449	Chromosome	1523478	1524752	+	1275	tyrS	97	415	397	343	246	596	1285	659	908	150
STM1450	Chromosome	1524812	1525672	+	861	pdxY	18	105	129	85	67	128	316	147	225	53
STM1451	Chromosome	1525731	1526336	-	606	gst	162	446	418	222	214	634	941	332	421	209
STM1452	Chromosome	1526441	1527946	-	1506	ydgR	109	444	297	221	185	360	539	279	306	199
STM1453	Chromosome	1528548	1529183	-	636	nth	11	25	43	27	5	52	55	53	59	12
STM1454	Chromosome	1529183	1529875	-	693	ydgQ	3	19	38	20	15	46	58	35	46	9
STM1455	Chromosome	1529878	1530498	-	621	ydgP	8	28	23	15	6	42	49	26	26	5
STM1456	Chromosome	1530502	1531560	-	1059	ydgO	2	21	24	15	6	25	39	21	30	8
STM1457	Chromosome	1531561	1533768	-	2208	NA	2	56	88	42	20	78	80	66	95	11
STM1458	Chromosome	1533761	1534339	-	579	ydgM	2	11	29	14	8	22	56	42	32	7
STM1459	Chromosome	1534339	1534920	-	582	NA	18	45	40	34	29	56	107	95	56	29
STM1460	Chromosome	1534997	1535437	-	441	ydgK	23	72	57	65	39	83	194	116	103	28
STM1461	Chromosome	1535526	1535741	-	216	ydgT	9	12	9	8	9	20	28	21	23	15
STM1462	Chromosome	1536297	1537412	+	1116	ydgJ	28	94	117	77	47	223	293	126	176	52
STM1463	Chromosome	1537487	1538488	-	1002	add	18	101	139	86	60	142	261	170	197	53
STM1466	Chromosome	1539192	1540700	-	1509	ydgA	39	112	124	77	58	220	266	124	187	99
STM1467	Chromosome	1540803	1541978	-	1176	manA	27	60	96	45	27	108	139	106	150	31
STM1468	Chromosome	1542178	1543824	+	1647	fumA	159	553	852	275	273	960	1989	546	1093	303
STM1469	Chromosome	1543992	1545395	+	1404	fumC	55	340	330	139	104	494	978	285	375	171
STM1470	Chromosome	1545392	1546321	-	930	tus	24	82	67	31	22	163	248	99	73	55
STM1471	Chromosome	1546397	1547698	-	1302	rstB	0	9	8	9	8	24	25	20	19	6
STM1472	Chromosome	1547809	1549515	-	1707	NA	4	15	8	10	3	37	36	14	22	10
STM1473	Chromosome	1549668	1550801	-	1134	ompN	4	5	6	3	3	21	13	6	9	4
STM1475	Chromosome	1551281	1552012	-	732	rstA	34	99	86	65	44	101	203	102	106	39
STM1476	Chromosome	1552139	1552474	+	336	ydgC	4	3	7	2	2	4	16	12	14	5
STM1477	Chromosome	1552536	1553918	-	1383	ydgI	1	17	18	11	6	32	35	22	19	13
STM1478	Chromosome	1554217	1555161	-	945	ydgH	58	145	281	123	82	265	465	221	424	79
STM1479	Chromosome	1555688	1557217	+	1530	pntA	90	387	441	257	166	587	880	404	656	185
STM1480	Chromosome	1557228	1558616	+	1389	pntB	74	336	422	201	142	444	672	357	518	154
STM1481	Chromosome	1558791	1559825	-	1035	NA	7	22	13	12	10	34	66	24	29	13
STM1482	Chromosome	1560243	1560605	+	363	ydgF	13	8	20	6	6	12	27	13	9	7
STM1483	Chromosome	1560592	1560921	+	330	ydgE	3	9	11	4	6	18	23	8	11	4
STM1484	Chromosome	1560961	1561782	-	822	NA	34	96	80	60	42	333	314	73	61	111
STM1485	Chromosome	1562051	1562335	-	285	NA	4	13	8	4	4	32	29	10	4	10
STM1486	Chromosome	1562694	1563947	-	1254	ynfM	25	46	47	22	22	90	90	30	35	43
STM1487	Chromosome	1564067	1564966	+	900	ynfL	4	7	21	7	4	24	31	8	15	3
STM1488	Chromosome	1565094	1566314	+	1221	mlc	20	75	105	49	39	112	188	101	118	24
STM1489	Chromosome	1566440	1567135	+	696	ynfK	153	351	285	268	192	1023	1458	563	499	183
STM1490	Chromosome	1567091	1568380	-	1290	NA	17	62	25	53	25	105	266	117	72	36
STM1491	Chromosome	1568516	1569664	-	1149	NA	24	62	66	29	24	99	147	66	47	34
STM1492	Chromosome	1569664	1570311	-	648	NA	0	10	9	3	6	15	21	8	7	7
STM1493	Chromosome	1570321	1571223	-	903	NA	3	6	6	4	1	12	23	10	6	3
STM1494	Chromosome	1571252	1571962	-	711	NA	2	17	12	2	1	15	9	5	5	7
STM1495	Chromosome	1572267	1572881	-	615	ynfI	26	83	85	59	47	113	245	99	161	24
STM1496	Chromosome	1572924	1573781	-	858	NA	13	63	56	37	28	78	182	64	105	16
STM1497	Chromosome	1573783	1574400	-	618	NA	7	17	31	14	4	14	58	23	43	10
STM1498	Chromosome	1574411	1576846	-	2436	NA	8	75	100	62	41	98	230	104	223	34
STM1499	Chromosome	1576945	1579386	-	2442	NA	100	256	231	143	101	405	692	200	413	99
STM1500	Chromosome	1579540	1579848	-	309	ynfD	38	38	32	20	26	114	200	60	58	35
STM1501	Chromosome	1579943	1580662	+	720	ynfC	33	84	79	40	48	178	251	104	91	65
STM1502	Chromosome	1580703	1581263	-	561	speG	42	174	148	141	110	329	599	261	387	71
STM1503	Chromosome	1581299	1581640	-	342	ynfB	90	164	175	150	99	373	624	241	285	71
STM1504	Chromosome	1581793	1582119	+	327	ynfA	2	9	8	7	2	9	11	5	13	1
STM1505	Chromosome	1582241	1583455	+	1215	rspA	0	12	15	5	3	24	33	17	31	1
STM1506	Chromosome	1583466	1584485	+	1020	rspB	0	3	9	6	1	17	17	9	17	1
STM1507	Chromosome	1584539	1585516	+	978	ydfJ	2	5	2	5	1	21	19	8	13	3
STM1508	Chromosome	1586062	1587528	+	1467	ydfI	9	30	31	30	17	59	89	34	72	18
STM1509	Chromosome	1587595	1587798	-	204	ydfZ	327	407	305	246	152	887	1238	318	531	167
STM1510	Chromosome	1587979	1588665	-	687	ydfH	25	66	43	42	35	91	132	100	125	33
STM1511	Chromosome	1588795	1589541	-	747	ydfG	77	177	206	140	71	365	466	171	273	116
STM1512	Chromosome	1589680	1591722	+	2043	dcp	10	72	81	66	40	112	159	81	162	37
STM1513	Chromosome	1592067	1592249	+	183	NA	14	23	14	4	3	57	19	8	5	34
STM1514	Chromosome	1592369	1592896	-	528	ydeJ	9	6	3	0	1	16	16	8	3	9
STM1515	Chromosome	1593323	1593715	+	393	ydeI	10	21	19	4	10	55	44	8	7	20
STM1516	Chromosome	1594407	1595594	-	1188	ydeE	9	18	22	15	12	40	68	19	38	24
STM1517	Chromosome	1595822	1596724	+	903	ydeD	5	17	13	10	6	20	34	24	18	12
STM1518	Chromosome	1596843	1597058	-	216	marB	0	8	11	9	4	18	24	4	14	5
STM1519	Chromosome	1597087	1597521	-	435	marA	5	9	14	12	3	18	11	20	18	1
STM1520	Chromosome	1597490	1597924	-	435	marR	7	10	17	11	8	19	26	23	14	10
STM1521	Chromosome	1598183	1598848	+	666	marC	19	57	40	20	29	76	111	31	40	28
STM1522	Chromosome	1598895	1600085	-	1191	ydeA	12	25	19	28	11	43	78	27	27	10
STM1523	Chromosome	1600201	1601073	-	873	yneJ	6	12	11	11	3	21	23	12	14	3
STM1524	Chromosome	1601176	1602564	+	1389	yneI	11	32	41	27	17	65	55	40	40	13
STM1525	Chromosome	1602637	1603563	+	927	yneH	4	12	25	10	8	15	40	22	14	3
STM1526	Chromosome	1603563	1603922	+	360	yneG	8	24	15	14	8	43	55	18	30	16
STM1527	Chromosome	1604146	1605093	+	948	NA	8	22	8	20	6	27	60	18	24	18
STM1528	Chromosome	1605149	1605691	-	543	NA	0	2	4	2	1	13	6	2	2	0
STM1529	Chromosome	1605540	1605866	+	327	NA	0	0	0	0	0	2	3	0	0	0
STM1530	Chromosome	1606408	1607526	+	1119	NA	3	11	4	6	8	35	40	17	11	9
STM1531	Chromosome	1607667	1608008	-	342	NA	0	3	3	0	1	1	5	2	2	1
STM1532	Chromosome	1608021	1608908	-	888	NA	2	5	16	3	5	13	24	14	10	6
STM1533	Chromosome	1608896	1609957	-	1062	NA	3	24	24	7	9	43	58	24	30	16
STM1534	Chromosome	1609975	1610385	-	411	NA	5	8	16	5	3	19	23	6	18	8
STM1535	Chromosome	1610382	1610681	-	300	NA	3	12	15	5	3	22	28	4	16	8
STM1536	Chromosome	1610681	1611289	-	609	NA	6	32	42	14	18	53	60	18	17	18
STM1537	Chromosome	1611295	1612038	-	744	NA	9	24	34	10	9	52	88	17	21	16
STM1538	Chromosome	1611989	1613791	-	1803	NA	6	29	51	8	7	74	61	23	21	19
STM1539	Chromosome	1613794	1614897	-	1104	NA	6	10	28	9	3	57	33	18	23	22
STM1540	Chromosome	1615326	1616417	+	1092	NA	10	26	32	9	10	71	57	25	30	29
