# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "reference_genomes/bth/bth_genome.gtf" "-o" "feature_counts/bth_1110.txt" "sam/sam_11_09/275-1_bth.sorted.bam" "sam/sam_11_09/275-2_bth.sorted.bam" "sam/sam_11_09/275-3_bth.sorted.bam" "sam/sam_11_09/275-4_bth.sorted.bam" "sam/sam_11_09/275-5_bth.sorted.bam" "sam/sam_11_09/278-1_bth.sorted.bam" "sam/sam_11_09/278-2_bth.sorted.bam" "sam/sam_11_09/278-3_bth.sorted.bam" "sam/sam_11_09/278-4_bth.sorted.bam" "sam/sam_11_09/278-5_bth.sorted.bam" "-t" "transcript" "--extraAttributes" "gene_name" 
Geneid	Chr	Start	End	Strand	Length	gene_name	275-1_bth.sorted.bam	275-2_bth.sorted.bam	275-3_bth.sorted.bam	275-4_bth.sorted.bam	275-5_bth.sorted.bam	278-1_bth.sorted.bam	278-2_bth.sorted.bam	278-3_bth.sorted.bam	278-4_bth.sorted.bam	278-5_bth.sorted.bam
gene-FE838_RS05730	NZ_CP040530.1	1436880	1440209	+	3330	NA	8202	764	726	2474	1607	246	706	65	401	422
gene-FE838_RS05735	NZ_CP040530.1	1440245	1441798	+	1554	NA	2374	279	276	774	447	63	190	26	112	87
gene-FE838_RS05740	NZ_CP040530.1	1441813	1442727	+	915	NA	1438	172	178	421	242	35	112	4	63	81
gene-FE838_RS05745	NZ_CP040530.1	1442740	1444071	+	1332	NA	1532	185	223	592	341	66	159	18	80	83
gene-FE838_RS05750	NZ_CP040530.1	1444087	1445151	+	1065	NA	1271	156	195	523	345	58	128	9	70	74
gene-FE838_RS05755	NZ_CP040530.1	1445270	1446301	-	1032	queG	133	11	13	25	12	5	14	2	38	13
gene-FE838_RS05760	NZ_CP040530.1	1446377	1446991	-	615	NA	220	48	17	67	41	29	32	11	93	55
gene-FE838_RS05765	NZ_CP040530.1	1447094	1450468	-	3375	NA	3346	548	285	826	700	185	362	140	1174	657
gene-FE838_RS05770	NZ_CP040530.1	1450887	1451678	-	792	NA	89	31	10	31	18	7	26	7	34	15
gene-FE838_RS05775	NZ_CP040530.1	1451738	1452664	-	927	NA	163	42	21	41	39	10	32	11	40	22
gene-FE838_RS05780	NZ_CP040530.1	1452667	1453389	-	723	mnmD	144	24	11	30	26	10	18	7	34	12
gene-FE838_RS05785	NZ_CP040530.1	1453436	1453915	-	480	NA	213	38	13	35	27	2	26	8	39	16
gene-FE838_RS05790	NZ_CP040530.1	1453900	1454910	-	1011	NA	719	130	36	121	108	20	53	18	138	72
gene-FE838_RS05795	NZ_CP040530.1	1454910	1456184	-	1275	purD	1130	275	141	261	287	56	165	70	308	198
gene-FE838_RS05800	NZ_CP040530.1	1456258	1458456	-	2199	NA	931	175	104	237	209	48	137	33	296	158
gene-FE838_RS05805	NZ_CP040530.1	1458665	1460134	-	1470	NA	1244	168	73	223	223	76	189	57	328	227
gene-FE838_RS05810	NZ_CP040530.1	1460151	1461053	-	903	NA	767	124	49	147	130	46	101	23	179	134
gene-FE838_RS05815	NZ_CP040530.1	1461174	1463210	+	2037	NA	371	43	20	102	101	27	44	15	85	53
gene-FE838_RS05820	NZ_CP040530.1	1463207	1463986	+	780	NA	120	36	10	35	46	8	16	5	30	16
gene-FE838_RS05825	NZ_CP040530.1	1464094	1464489	-	396	NA	27	60	95	22	131	257	145	16	139	313
gene-FE838_RS05830	NZ_CP040530.1	1464822	1467671	-	2850	polA	751	226	157	277	331	52	96	30	249	212
gene-FE838_RS05835	NZ_CP040530.1	1467760	1468734	+	975	NA	429	62	48	137	121	35	87	48	168	131
gene-FE838_RS05840	NZ_CP040530.1	1468735	1469415	-	681	NA	83	5	11	19	28	14	21	1	29	18
gene-FE838_RS05845	NZ_CP040530.1	1469822	1470724	-	903	deoC	689	246	184	360	336	80	159	26	188	165
gene-FE838_RS05850	NZ_CP040530.1	1470711	1471049	-	339	NA	85	24	12	40	18	10	24	5	24	30
gene-FE838_RS05855	NZ_CP040530.1	1471138	1471590	-	453	dtd	138	31	31	63	41	20	30	5	62	42
gene-FE838_RS05860	NZ_CP040530.1	1472075	1473904	-	1830	uvrC	197	53	39	97	81	27	42	12	79	70
gene-FE838_RS05865	NZ_CP040530.1	1473980	1474510	-	531	NA	250	38	24	83	49	25	21	9	66	37
gene-FE838_RS05870	NZ_CP040530.1	1474561	1476447	-	1887	mnmG	752	75	37	151	94	31	61	23	105	64
gene-FE838_RS05875	NZ_CP040530.1	1477282	1477854	+	573	NA	619	153	74	452	398	67	89	37	147	168
gene-FE838_RS05880	NZ_CP040530.1	1478370	1479578	+	1209	NA	66	17	11	24	26	2	11	3	8	25
gene-FE838_RS05885	NZ_CP040530.1	1479623	1482952	+	3330	NA	291	74	37	144	72	8	35	7	46	66
gene-FE838_RS05890	NZ_CP040530.1	1482975	1484432	+	1458	NA	65	20	19	44	28	1	14	0	5	21
gene-FE838_RS05895	NZ_CP040530.1	1484459	1485169	+	711	NA	28	3	4	19	12	0	0	1	4	6
gene-FE838_RS05900	NZ_CP040530.1	1485189	1486820	+	1632	NA	108	19	14	32	33	6	8	4	18	16
gene-FE838_RS05905	NZ_CP040530.1	1486886	1489468	+	2583	NA	264	80	48	93	82	8	15	6	28	37
gene-FE838_RS05910	NZ_CP040530.1	1489477	1492083	+	2607	NA	265	56	35	84	50	7	13	3	31	23
gene-FE838_RS05915	NZ_CP040530.1	1492346	1492915	+	570	NA	43	1	0	9	8	0	2	2	7	7
gene-FE838_RS05920	NZ_CP040530.1	1493114	1494298	+	1185	NA	35	2	2	18	5	8	3	0	10	26
gene-FE838_RS05925	NZ_CP040530.1	1494332	1497880	+	3549	NA	314	22	25	145	61	23	14	2	40	119
gene-FE838_RS05930	NZ_CP040530.1	1497980	1499356	+	1377	NA	121	5	12	56	42	10	7	3	12	43
gene-FE838_RS05935	NZ_CP040530.1	1499363	1500262	+	900	NA	53	5	10	35	20	3	3	0	5	34
gene-FE838_RS05940	NZ_CP040530.1	1500282	1502831	+	2550	NA	269	35	27	131	123	23	21	4	42	107
gene-FE838_RS05945	NZ_CP040530.1	1502925	1503338	-	414	ybeY	113	12	6	16	26	10	15	3	37	16
gene-FE838_RS05950	NZ_CP040530.1	1503354	1504586	-	1233	NA	152	13	12	30	28	4	22	6	55	25
gene-FE838_RS05955	NZ_CP040530.1	1505199	1506230	+	1032	ruvB	902	199	138	294	231	89	144	34	236	207
gene-FE838_RS05960	NZ_CP040530.1	1506337	1507104	+	768	NA	383	76	41	108	102	33	72	18	102	95
gene-FE838_RS05965	NZ_CP040530.1	1507140	1508588	+	1449	NA	313	46	32	97	88	28	53	13	110	80
gene-FE838_RS05970	NZ_CP040530.1	1508591	1509946	+	1356	NA	273	67	36	78	77	23	49	14	69	68
gene-FE838_RS05975	NZ_CP040530.1	1509993	1512134	+	2142	NA	448	102	44	93	110	27	69	17	141	98
gene-FE838_RS05980	NZ_CP040530.1	1512167	1513033	-	867	NA	87	9	5	14	14	10	22	5	18	16
gene-FE838_RS05985	NZ_CP040530.1	1513317	1515521	+	2205	NA	50	19	15	18	24	2	6	1	18	6
gene-FE838_RS05990	NZ_CP040530.1	1515614	1517389	-	1776	NA	37	36	35	65	88	6	9	1	14	13
gene-FE838_RS05995	NZ_CP040530.1	1517657	1521922	+	4266	NA	997	452	337	525	722	61	120	52	322	225
gene-FE838_RS06000	NZ_CP040530.1	1522025	1523977	-	1953	NA	707	230	158	315	327	69	128	20	183	167
gene-FE838_RS06005	NZ_CP040530.1	1524253	1525257	-	1005	NA	7	1	1	2	6	2	1	1	2	2
gene-FE838_RS06010	NZ_CP040530.1	1525276	1527300	-	2025	NA	10	0	8	2	4	1	0	0	0	3
gene-FE838_RS06015	NZ_CP040530.1	1527311	1530391	-	3081	NA	8	7	5	4	11	4	3	1	5	4
gene-FE838_RS06020	NZ_CP040530.1	1530412	1531824	-	1413	NA	3	4	1	2	2	1	1	1	2	1
gene-FE838_RS06025	NZ_CP040530.1	1531867	1534020	-	2154	NA	14	3	1	1	2	0	4	1	1	2
gene-FE838_RS06030	NZ_CP040530.1	1534042	1536519	-	2478	NA	11	1	0	0	1	3	0	1	0	0
gene-FE838_RS06035	NZ_CP040530.1	1536631	1537818	-	1188	NA	8	0	1	0	1	3	1	0	0	1
gene-FE838_RS06040	NZ_CP040530.1	1538188	1542288	+	4101	NA	93	66	57	96	93	8	27	14	61	37
gene-FE838_RS06045	NZ_CP040530.1	1542775	1544718	-	1944	NA	2745	228	84	177	174	98	205	151	458	243
gene-FE838_RS06050	NZ_CP040530.1	1544830	1545900	-	1071	NA	221	101	92	131	229	33	49	9	177	124
gene-FE838_RS06055	NZ_CP040530.1	1546019	1546945	-	927	NA	541	114	63	126	127	49	115	22	182	128
gene-FE838_RS06060	NZ_CP040530.1	1546933	1547538	-	606	NA	222	76	39	74	85	17	49	10	87	85
gene-FE838_RS06065	NZ_CP040530.1	1547543	1548076	-	534	NA	196	57	43	75	84	40	62	16	88	102
gene-FE838_RS06070	NZ_CP040530.1	1548182	1549402	+	1221	NA	211	42	16	66	64	15	31	16	52	30
gene-FE838_RS06075	NZ_CP040530.1	1549451	1551094	+	1644	NA	135	14	5	15	15	9	12	7	31	14
gene-FE838_RS06080	NZ_CP040530.1	1551304	1554309	+	3006	NA	25	33	23	35	38	2	6	4	11	14
gene-FE838_RS06085	NZ_CP040530.1	1554309	1555844	+	1536	NA	11	25	10	9	19	4	6	1	5	5
gene-FE838_RS06090	NZ_CP040530.1	1555903	1557393	+	1491	NA	11	20	20	16	24	0	8	2	3	5
gene-FE838_RS06095	NZ_CP040530.1	1557416	1559419	+	2004	NA	8	19	17	16	22	4	7	0	10	11
gene-FE838_RS06100	NZ_CP040530.1	1559437	1561731	+	2295	NA	36	37	24	39	30	8	10	2	9	16
gene-FE838_RS06105	NZ_CP040530.1	1562198	1562650	+	453	NA	11	0	2	7	1	1	3	1	1	5
gene-FE838_RS06110	NZ_CP040530.1	1563158	1563787	-	630	NA	69	18	15	16	21	7	9	4	26	12
gene-FE838_RS06115	NZ_CP040530.1	1563830	1564768	-	939	lepB	280	66	32	85	73	28	35	11	81	58
gene-FE838_RS06120	NZ_CP040530.1	1564811	1566292	-	1482	lepB	944	274	185	443	413	75	148	34	275	253
gene-FE838_RS06125	NZ_CP040530.1	1566326	1567090	-	765	dapB	397	126	110	181	153	40	59	24	147	114
gene-FE838_RS06130	NZ_CP040530.1	1567174	1568457	+	1284	NA	115	23	6	31	57	7	17	8	45	26
gene-FE838_RS06135	NZ_CP040530.1	1568463	1571075	-	2613	NA	50	63	24	51	131	13	17	4	44	45
gene-FE838_RS06140	NZ_CP040530.1	1571259	1571816	+	558	NA	276	41	32	51	70	28	38	8	43	49
gene-FE838_RS06145	NZ_CP040530.1	1572015	1575092	+	3078	NA	140	20	16	29	21	4	9	8	27	20
gene-FE838_RS06150	NZ_CP040530.1	1575887	1577149	-	1263	NA	238	28	16	46	39	9	21	17	80	40
gene-FE838_RS06155	NZ_CP040530.1	1577204	1578148	-	945	NA	185	59	27	72	61	13	31	7	49	43
gene-FE838_RS06160	NZ_CP040530.1	1578176	1579633	-	1458	NA	252	62	48	82	73	22	44	14	75	69
gene-FE838_RS06165	NZ_CP040530.1	1579814	1582420	-	2607	NA	216	42	39	68	59	10	41	20	21	32
gene-FE838_RS06170	NZ_CP040530.1	1582434	1584371	-	1938	NA	270	53	34	28	58	20	40	16	28	39
gene-FE838_RS06175	NZ_CP040530.1	1584410	1585453	-	1044	NA	88	14	7	11	10	2	9	7	9	9
gene-FE838_RS06180	NZ_CP040530.1	1585487	1587205	-	1719	NA	107	30	12	21	27	4	19	5	16	8
gene-FE838_RS06185	NZ_CP040530.1	1587246	1590407	-	3162	NA	191	37	23	27	43	12	23	20	16	11
gene-FE838_RS06190	NZ_CP040530.1	1590567	1592102	-	1536	NA	34	14	6	10	12	8	10	3	4	7
gene-FE838_RS06195	NZ_CP040530.1	1592402	1596466	-	4065	NA	881	250	182	352	483	83	208	36	424	380
gene-FE838_RS06200	NZ_CP040530.1	1596578	1597219	+	642	NA	752	158	122	279	271	71	143	25	181	187
gene-FE838_RS06205	NZ_CP040530.1	1597280	1598050	-	771	lpxA	1134	329	325	596	520	55	154	56	314	238
gene-FE838_RS06210	NZ_CP040530.1	1598069	1599454	-	1386	NA	1379	347	230	529	293	19	69	54	361	112
gene-FE838_RS06215	NZ_CP040530.1	1599466	1602681	-	3216	NA	3417	879	558	1400	696	62	154	111	1022	348
gene-FE838_RS06220	NZ_CP040530.1	1602698	1603873	-	1176	NA	418	73	100	279	157	22	40	21	209	95
gene-FE838_RS06225	NZ_CP040530.1	1604053	1607163	-	3111	NA	1513	654	426	720	972	104	206	67	468	330
gene-FE838_RS06230	NZ_CP040530.1	1607314	1609242	+	1929	NA	1164	257	215	454	470	165	235	47	509	538
gene-FE838_RS06235	NZ_CP040530.1	1609178	1610062	+	885	NA	855	204	149	298	313	69	138	39	308	299
gene-FE838_RS06240	NZ_CP040530.1	1610068	1610472	-	405	NA	190	38	41	60	85	19	23	17	74	38
gene-FE838_RS06245	NZ_CP040530.1	1610778	1611788	-	1011	NA	13	57	18	29	24	4	5	1	8	7
gene-FE838_RS06250	NZ_CP040530.1	1611817	1613856	-	2040	NA	9	78	37	41	12	5	1	1	14	20
gene-FE838_RS06255	NZ_CP040530.1	1613879	1616962	-	3084	NA	17	134	44	71	31	5	6	9	27	13
gene-FE838_RS06260	NZ_CP040530.1	1616986	1618395	-	1410	NA	8	67	23	26	15	3	7	6	18	11
gene-FE838_RS06265	NZ_CP040530.1	1619000	1620202	+	1203	NA	149	55	30	57	92	15	24	7	37	48
gene-FE838_RS06270	NZ_CP040530.1	1620285	1621835	+	1551	NA	153	80	36	60	98	12	33	7	41	40
gene-FE838_RS06275	NZ_CP040530.1	1621974	1624835	+	2862	NA	201	69	34	68	81	14	30	5	25	32
gene-FE838_RS06280	NZ_CP040530.1	1624959	1626440	-	1482	cysS	1234	181	145	322	271	77	168	41	319	212
gene-FE838_RS06285	NZ_CP040530.1	1626544	1627356	-	813	NA	54	6	4	11	10	2	7	3	40	9
gene-FE838_RS06290	NZ_CP040530.1	1627472	1630555	-	3084	NA	335	48	26	73	71	14	36	17	98	68
gene-FE838_RS06295	NZ_CP040530.1	1630611	1631720	+	1110	mnmA	67	12	8	27	16	8	12	4	21	18
gene-FE838_RS06300	NZ_CP040530.1	1631927	1633438	-	1512	NA	433	64	52	114	95	40	96	31	240	123
gene-FE838_RS06305	NZ_CP040530.1	1633576	1634586	+	1011	NA	616	178	100	198	236	48	98	20	117	131
gene-FE838_RS06310	NZ_CP040530.1	1634630	1635604	-	975	rnc	969	59	19	69	92	44	59	35	140	77
gene-FE838_RS06315	NZ_CP040530.1	1635570	1636832	-	1263	fabF	15221	1342	428	1332	1253	411	902	859	2920	1154
gene-FE838_RS06320	NZ_CP040530.1	1636851	1637087	-	237	NA	5307	1266	959	2389	2492	592	764	259	1063	1205
gene-FE838_RS06325	NZ_CP040530.1	1637186	1637812	+	627	purN	167	36	30	87	101	18	40	5	55	36
gene-FE838_RS06330	NZ_CP040530.1	1637885	1638931	-	1047	pdxB	423	98	57	155	133	23	77	11	99	122
gene-FE838_RS06335	NZ_CP040530.1	1639049	1639654	+	606	NA	816	161	154	248	250	128	195	36	249	285
gene-FE838_RS06340	NZ_CP040530.1	1639658	1640689	+	1032	NA	1096	259	149	453	506	129	311	79	362	531
gene-FE838_RS06345	NZ_CP040530.1	1640721	1641695	+	975	NA	503	86	51	104	127	54	108	26	164	137
gene-FE838_RS06350	NZ_CP040530.1	1641736	1642479	+	744	NA	430	79	64	132	132	54	99	28	130	141
gene-FE838_RS06355	NZ_CP040530.1	1642500	1644539	+	2040	NA	931	127	110	269	275	75	208	50	275	267
gene-FE838_RS06360	NZ_CP040530.1	1644702	1645712	+	1011	NA	1054	294	221	512	506	156	207	52	317	346
gene-FE838_RS06365	NZ_CP040530.1	1645714	1646955	+	1242	NA	556	157	85	233	262	75	107	36	178	160
gene-FE838_RS06370	NZ_CP040530.1	1646981	1648222	+	1242	NA	310	142	126	355	395	37	64	27	132	155
gene-FE838_RS06375	NZ_CP040530.1	1648227	1649468	-	1242	NA	151	14	23	46	153	33	77	13	58	82
gene-FE838_RS06380	NZ_CP040530.1	1649601	1650590	+	990	NA	152	47	27	80	96	45	84	18	55	80
gene-FE838_RS06385	NZ_CP040530.1	1650580	1651569	+	990	NA	115	33	27	42	69	32	52	18	49	54
gene-FE838_RS06390	NZ_CP040530.1	1651622	1652602	-	981	NA	100	19	5	16	13	8	15	6	42	20
gene-FE838_RS06395	NZ_CP040530.1	1652609	1653052	-	444	NA	41	2	2	5	8	3	11	3	22	6
gene-FE838_RS06400	NZ_CP040530.1	1653056	1654255	-	1200	NA	280	39	23	55	41	20	47	15	70	57
gene-FE838_RS06405	NZ_CP040530.1	1654257	1655417	-	1161	NA	261	43	28	61	53	37	53	18	55	61
gene-FE838_RS06410	NZ_CP040530.1	1655419	1656528	-	1110	NA	361	58	45	117	90	65	74	18	99	75
gene-FE838_RS06415	NZ_CP040530.1	1656746	1657651	+	906	NA	134	21	20	46	49	16	21	4	33	32
gene-FE838_RS06420	NZ_CP040530.1	1657871	1658251	+	381	NA	18	8	3	3	11	8	10	3	10	10
gene-FE838_RS06425	NZ_CP040530.1	1658248	1659183	+	936	NA	127	25	12	34	35	16	12	8	41	39
gene-FE838_RS06430	NZ_CP040530.1	1659192	1660523	+	1332	NA	88	14	4	18	51	19	21	6	40	36
gene-FE838_RS06435	NZ_CP040530.1	1660715	1662412	+	1698	NA	1038	336	193	539	441	100	149	34	352	295
gene-FE838_RS06440	NZ_CP040530.1	1662443	1664635	+	2193	NA	1039	528	466	653	533	88	93	20	311	348
gene-FE838_RS06445	NZ_CP040530.1	1664865	1665476	-	612	NA	128	60	50	73	92	14	29	1	43	48
gene-FE838_RS06450	NZ_CP040530.1	1666117	1668207	+	2091	NA	179	15	9	30	10	10	24	23	71	44
gene-FE838_RS06455	NZ_CP040530.1	1668343	1670178	+	1836	NA	1331	132	74	156	167	126	143	40	252	199
gene-FE838_RS06460	NZ_CP040530.1	1670239	1671027	+	789	NA	248	29	17	42	47	26	31	18	84	58
gene-FE838_RS06465	NZ_CP040530.1	1671024	1672925	+	1902	NA	204	29	20	29	42	34	39	15	107	59
gene-FE838_RS06470	NZ_CP040530.1	1672910	1674070	+	1161	NA	182	29	6	28	24	15	18	11	96	51
gene-FE838_RS06475	NZ_CP040530.1	1674120	1674551	+	432	NA	765	84	72	519	774	153	209	27	360	457
gene-FE838_RS06480	NZ_CP040530.1	1674564	1675199	-	636	NA	87	11	6	10	10	8	12	6	25	13
gene-FE838_RS06485	NZ_CP040530.1	1675338	1675940	+	603	NA	704	476	376	517	858	485	593	22	159	591
gene-FE838_RS06490	NZ_CP040530.1	1676001	1676528	+	528	NA	334	153	79	203	334	155	214	15	113	222
gene-FE838_RS06495	NZ_CP040530.1	1676646	1678538	+	1893	speA	1388	304	159	389	402	117	261	55	398	267
gene-FE838_RS06500	NZ_CP040530.1	1678598	1679371	+	774	argB	326	53	35	104	85	24	35	13	82	55
gene-FE838_RS06505	NZ_CP040530.1	1679433	1679942	+	510	NA	1040	635	384	763	1356	143	220	37	361	746
gene-FE838_RS06510	NZ_CP040530.1	1679932	1680408	+	477	NA	537	174	280	398	591	59	102	8	173	290
gene-FE838_RS06515	NZ_CP040530.1	1680584	1681369	-	786	NA	59	43	58	64	79	13	22	4	85	172
gene-FE838_RS06520	NZ_CP040530.1	1681505	1682203	+	699	NA	164	34	18	56	58	9	25	6	41	39
gene-FE838_RS06525	NZ_CP040530.1	1682243	1682638	-	396	NA	188	29	24	54	60	20	37	1	40	41
gene-FE838_RS06530	NZ_CP040530.1	1682795	1684036	+	1242	NA	388	199	130	193	303	31	98	10	117	106
gene-FE838_RS06535	NZ_CP040530.1	1684191	1684658	+	468	rimP	1659	268	163	324	308	191	324	71	318	364
gene-FE838_RS06540	NZ_CP040530.1	1684661	1685980	+	1320	nusA	3722	968	674	1294	1233	374	857	198	853	1293
gene-FE838_RS06545	NZ_CP040530.1	1686033	1689155	+	3123	infB	6914	2031	1341	3159	2485	468	1416	291	1733	2051
gene-FE838_RS06550	NZ_CP040530.1	1689235	1689765	+	531	NA	141	15	8	41	28	3	22	5	29	23
gene-FE838_RS06555	NZ_CP040530.1	1689743	1691197	+	1455	sufB	1139	326	205	484	448	165	316	42	293	365
gene-FE838_RS06560	NZ_CP040530.1	1691213	1691965	+	753	sufC	592	162	122	203	170	63	131	26	139	157
gene-FE838_RS06565	NZ_CP040530.1	1691968	1693311	+	1344	sufD	1183	254	153	373	361	108	258	41	280	271
gene-FE838_RS06570	NZ_CP040530.1	1693324	1694535	+	1212	NA	1093	223	135	347	349	116	252	43	215	259
gene-FE838_RS06575	NZ_CP040530.1	1694842	1695165	+	324	NA	198	157	222	259	363	128	139	20	404	724
gene-FE838_RS24400	NZ_CP040530.1	1695339	1695533	-	195	NA	112	58	77	131	171	17	17	2	87	75
gene-FE838_RS06585	NZ_CP040530.1	1695925	1698129	+	2205	NA	625	1400	790	1531	2893	295	587	29	395	791
gene-FE838_RS06590	NZ_CP040530.1	1698595	1699197	+	603	NA	90	15	10	26	27	8	14	9	18	19
gene-FE838_RS06595	NZ_CP040530.1	1699370	1700827	+	1458	NA	1326	289	165	475	377	48	128	56	104	114
gene-FE838_RS06600	NZ_CP040530.1	1701003	1701932	-	930	NA	357	25	30	85	80	34	60	12	94	58
gene-FE838_RS06605	NZ_CP040530.1	1702137	1702436	+	300	NA	1	0	0	0	1	0	0	0	0	0
gene-FE838_RS06610	NZ_CP040530.1	1702527	1703720	+	1194	NA	26	12	5	11	29	8	7	1	7	9
gene-FE838_RS06615	NZ_CP040530.1	1704377	1706848	-	2472	NA	271	260	155	275	456	30	70	17	148	139
gene-FE838_RS06620	NZ_CP040530.1	1707023	1708537	+	1515	gpmI	1892	398	200	510	385	96	249	145	873	335
gene-FE838_RS06625	NZ_CP040530.1	1708809	1710335	+	1527	NA	13	5	3	2	2	3	1	0	6	2
gene-FE838_RS06630	NZ_CP040530.1	1710360	1711646	+	1287	NA	8	0	1	5	2	4	0	0	3	10
gene-FE838_RS06635	NZ_CP040530.1	1711659	1714376	+	2718	NA	19	2	3	5	3	3	4	1	4	3
gene-FE838_RS06640	NZ_CP040530.1	1714515	1715207	+	693	NA	8	2	1	4	1	2	4	1	1	1
gene-FE838_RS06645	NZ_CP040530.1	1715394	1718132	+	2739	NA	21	8	4	11	8	2	5	1	4	6
gene-FE838_RS06650	NZ_CP040530.1	1718184	1719794	+	1611	NA	6	1	2	4	4	2	5	1	1	5
gene-FE838_RS06655	NZ_CP040530.1	1719827	1720000	-	174	NA	0	0	0	1	0	0	1	0	1	0
gene-FE838_RS06660	NZ_CP040530.1	1720099	1720680	+	582	NA	143	29	14	29	47	9	21	8	29	28
gene-FE838_RS06665	NZ_CP040530.1	1720689	1720889	-	201	NA	139	38	44	47	72	16	12	4	34	51
gene-FE838_RS06670	NZ_CP040530.1	1721059	1723020	-	1962	gyrB	3936	802	534	1171	1076	278	577	193	1003	760
gene-FE838_RS06675	NZ_CP040530.1	1723220	1723474	-	255	rpsT	2042	85	65	267	249	138	219	107	696	288
gene-FE838_RS06680	NZ_CP040530.1	1723517	1723588	-	72	NA	559	15	18	74	97	19	43	13	109	39
gene-FE838_RS06685	NZ_CP040530.1	1723930	1724052	-	123	NA	7	0	2	4	6	2	1	0	0	0
gene-FE838_RS06690	NZ_CP040530.1	1724194	1724922	+	729	recO	116	32	19	52	46	22	27	8	48	55
gene-FE838_RS06695	NZ_CP040530.1	1724927	1726666	-	1740	NA	390	84	93	193	199	51	114	8	104	130
gene-FE838_RS06700	NZ_CP040530.1	1726804	1727751	+	948	NA	57	5	6	14	15	8	13	2	26	18
gene-FE838_RS06705	NZ_CP040530.1	1727748	1728983	+	1236	NA	107	12	12	27	18	11	9	6	57	32
gene-FE838_RS06710	NZ_CP040530.1	1729871	1730305	-	435	NA	13	21	64	74	133	1	4	1	15	15
gene-FE838_RS06715	NZ_CP040530.1	1730464	1732125	-	1662	NA	25	35	141	178	318	6	22	3	37	28
gene-FE838_RS06720	NZ_CP040530.1	1732278	1732700	-	423	NA	12	9	63	62	224	8	25	4	14	39
gene-FE838_RS06725	NZ_CP040530.1	1732798	1734474	-	1677	NA	44	299	1158	1422	1485	6	2	1	72	35
gene-FE838_RS06730	NZ_CP040530.1	1734487	1735818	-	1332	NA	97	376	1241	1583	1404	18	4	0	61	26
gene-FE838_RS06735	NZ_CP040530.1	1735891	1736265	-	375	NA	181	193	671	1481	1472	3	3	2	46	16
gene-FE838_RS06740	NZ_CP040530.1	1736424	1738115	-	1692	NA	54	10	5	18	28	5	10	1	15	19
gene-FE838_RS06745	NZ_CP040530.1	1738752	1739201	-	450	NA	678	165	154	274	241	66	114	30	153	141
gene-FE838_RS06750	NZ_CP040530.1	1739257	1740564	-	1308	ftsZ	942	292	242	416	405	92	219	38	232	176
gene-FE838_RS06755	NZ_CP040530.1	1740582	1742033	-	1452	ftsA	852	188	218	355	340	92	171	42	207	196
gene-FE838_RS06760	NZ_CP040530.1	1742103	1742849	-	747	NA	177	40	21	60	52	23	39	13	54	32
gene-FE838_RS06765	NZ_CP040530.1	1742934	1744337	-	1404	murC	317	51	73	91	80	26	43	19	108	47
gene-FE838_RS06770	NZ_CP040530.1	1744541	1745659	-	1119	murG	466	74	85	189	172	22	69	22	119	81
gene-FE838_RS06775	NZ_CP040530.1	1745688	1747004	-	1317	NA	576	137	81	202	150	45	94	36	133	84
gene-FE838_RS06780	NZ_CP040530.1	1747006	1748340	-	1335	murD	653	139	107	182	148	32	97	27	163	91
gene-FE838_RS06790	NZ_CP040530.1	1748509	1749777	-	1269	mraY	438	72	53	120	102	31	78	25	125	82
gene-FE838_RS06795	NZ_CP040530.1	1749875	1751323	-	1449	NA	499	114	85	175	125	30	74	25	126	79
gene-FE838_RS06800	NZ_CP040530.1	1751347	1753473	-	2127	NA	967	156	104	225	192	53	131	48	254	128
gene-FE838_RS06805	NZ_CP040530.1	1753534	1753890	-	357	NA	52	9	9	10	5	9	11	1	11	7
gene-FE838_RS06810	NZ_CP040530.1	1753899	1754813	-	915	rsmH	368	71	50	120	119	27	56	26	120	57
gene-FE838_RS06815	NZ_CP040530.1	1754800	1755270	-	471	mraZ	200	34	16	53	46	15	37	10	59	30
gene-FE838_RS06820	NZ_CP040530.1	1755724	1756227	-	504	NA	1221	476	369	546	1323	410	485	39	351	926
gene-FE838_RS06825	NZ_CP040530.1	1756486	1757304	+	819	NA	747	102	89	284	232	79	144	32	185	168
gene-FE838_RS06830	NZ_CP040530.1	1757329	1758342	+	1014	NA	1186	175	99	211	224	57	124	55	189	124
gene-FE838_RS06835	NZ_CP040530.1	1758314	1759666	-	1353	NA	250	52	46	88	63	14	36	12	62	52
gene-FE838_RS06840	NZ_CP040530.1	1759791	1760225	+	435	dut	202	86	59	110	106	73	48	11	90	95
gene-FE838_RS06845	NZ_CP040530.1	1760244	1761998	+	1755	NA	1092	330	155	421	351	101	199	42	392	300
gene-FE838_RS06850	NZ_CP040530.1	1761995	1762576	+	582	NA	226	60	26	73	68	21	34	13	69	59
gene-FE838_RS06855	NZ_CP040530.1	1762573	1763880	+	1308	NA	467	101	55	130	144	39	56	15	132	107
gene-FE838_RS06860	NZ_CP040530.1	1763904	1767941	+	4038	NA	2276	432	295	1091	1109	187	378	67	542	640
gene-FE838_RS06865	NZ_CP040530.1	1768531	1769628	+	1098	NA	333	199	95	215	252	71	126	20	85	131
gene-FE838_RS06870	NZ_CP040530.1	1769597	1770460	-	864	NA	73	42	31	53	61	24	28	4	29	21
